treasure itemtypes "Common","Uncommon","Rare","Epic","Legendary","Divine","Unique"
new treasuretable "_Consumables"
new treasuretable "ST_Tools"
CanMerge 1
new subtable "1,1"
object category "I_OBJ_Tool_Hammer",3,0,0,0,0,0,0,0
object category "I_PF2_OBJ_Tool_HealersToolkit",1,0,0,0,0,0,0,0
object category "I_PF2_OBJ_Tool_MarvelousMedicines",1,0,0,0,0,0,0,0
object category "I_PF2_OBJ_Tool_InfiltratorThievesToolkit",1,0,0,0,0,0,0,0
new treasuretable "_Groups_Clothing"
new treasuretable "Clothes_Poor_Body"
CanMerge 1
new subtable "1,1"
object category "I_PF2_ARM_Camp_Body_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Prison_Poor_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Refugee_Gray_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Refugee_Green_ExplorersClothing",1,0,0,0,0,0,0,0
new treasuretable "Clothes_Vanity_Body_Common"
CanMerge 1
new subtable "1,1"
object category "I_PF2_ARM_Vanity_Body_Leather_Black_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Leather_Rich_Blue_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Leather_Bright_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Shirt_Black_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Shirt_Blue_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Shirt_Green_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Shirt_Purple_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Shirt_Red_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Leather_Rich_Green_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Leather_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Refugee_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Pants_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Citizen_C_Red_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Citizen_C_Green_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Citizen_C_Blue_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Citizen_C_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Citizen_B_Teal_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Citizen_B_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Citizen_Purple_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Citizen_Black_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Citizen_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Cultist_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Drow_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Camp_Body_Astarion_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Camp_Body_Gale_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Camp_Body_Halsin_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Camp_Body_Jaheira_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Camp_Body_Karlach_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Camp_Body_Laezel_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Camp_Body_Minsc_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Camp_Body_Minthara_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Camp_Body_Shadowheart_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Camp_Body_Wyll_ExplorersClothing",1,0,0,0,0,0,0,0
new treasuretable "Clothes_Vanity_Body_Rich"
CanMerge 1
new subtable "1,1"
object category "I_PF2_ARM_Vanity_Body_Deva_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Circus_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Circus_B_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_ElegantRobe_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_UNI_DaisyPlaysuit_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_UNI_DaisyDress_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Leather_Rich_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Rich_G2_White_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Rich_G2_Purple_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Rich_G2_Green_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Rich_G2_Blue_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Rich_G2_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Rich_G_Red_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Rich_G_Brown_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Rich_G_Bright_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Rich_G_Black_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Rich_G_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Rich_F_Blue_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Rich_F_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Rich_E_Teal_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Rich_E_GreenPink_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Rich_E_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Rich_D_White_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Rich_D_Puple_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Rich_D_Green_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Rich_D_Blue_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Rich_D_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Rich_C_Red_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Rich_C_Blue_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Rich_C_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Rich_B1_Beige_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Rich_B1_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Rich_B_Purple_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Rich_B_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Rich_Teal_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Rich_Green_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Rich_Gold_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Rich_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Patriars_Red_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Patriars_Green_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Patriars_Blue_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Patriars_Black_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Patriars_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Aristocrat_White_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Vanity_Body_Aristocrat_Brown_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Camp_EPI_AstarionAscendant_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Camp_EPI_AstarionAscendant_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Camp_EPI_AstarionSpawn_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Camp_EPI_Gale_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Camp_EPI_GaleGodling_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Camp_EPI_Halsin_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Camp_EPI_Jaheira_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Camp_EPI_JaheiraHarper_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Camp_EPI_KarlachAvernus_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Camp_EPI_LaezelFaerun_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Camp_EPI_LaezelGith_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Camp_EPI_Minsc_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Camp_EPI_Minthara_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Camp_EPI_MintharaDrow_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Camp_EPI_ShadowheartSelune_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Camp_EPI_ShadowheartShar_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Camp_EPI_WyllBlade_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Camp_EPI_WyllDuke_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Camp_EPI_Tav1_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Camp_EPI_Tav2_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Camp_EPI_Tav3_ExplorersClothing",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Camp_EPI_Tav4_ExplorersClothing",1,0,0,0,0,0,0,0
new treasuretable "Clothes_Wizard_Hat"
new subtable "1,1"
object category "I_PF2_MAG_Mages_Hat_A",1,0,0,0,0,0,0,0
object category "I_PF2_MAG_Mages_Hat_B",1,0,0,0,0,0,0,0
object category "I_PF2_MAG_Mages_Hat_C",1,0,0,0,0,0,0,0
object category "I_PF2_MAG_Mages_Hat_D",1,0,0,0,0,0,0,0
object category "I_PF2_MAG_Mages_Hat_E",1,0,0,0,0,0,0,0
object category "I_PF2_MAG_Mages_Hat_F",1,0,0,0,0,0,0,0
object category "I_PF2_MAG_Mages_Hat_G",1,0,0,0,0,0,0,0
new subtable "1,1"
EndLevel "7"
object category "I_PF2_MAG_Mages_Hat_H",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "8"
object category "I_PF2_MAG_Mages_Hat_GTR_A1",1,0,0,0,0,0,0,0
object category "I_PF2_MAG_Mages_Hat_GTR_B1",1,0,0,0,0,0,0,0
object category "I_PF2_MAG_Mages_Hat_GTR_C1",1,0,0,0,0,0,0,0
object category "I_PF2_MAG_Mages_Hat_GTR_D1",1,0,0,0,0,0,0,0
object category "I_PF2_MAG_Mages_Hat_GTR_E1",1,0,0,0,0,0,0,0
object category "I_PF2_MAG_Mages_Hat_GTR_F1",1,0,0,0,0,0,0,0
object category "I_PF2_MAG_Mages_Hat_GTR_G1",1,0,0,0,0,0,0,0
object category "I_PF2_MAG_Mages_Hat_GTR_H1",1,0,0,0,0,0,0,0
